"","sID","npID","nzsegment.x","Deposited.sediment.Class.x","productive_class.x","Suspended.Sediment.Class.x","min_year","N.values","N.Leftcensored","N.Rightcensored","DL","AL","Median","Mean","Q95","G540","G260","AnnMax","Median_Summer","p80","p83","p92","CI_G260_lower","CI_G260_upper","CI_G540_lower","CI_G540_upper","CI_Median_lower","CI_Median_upper","CI_Median_Summer_lower","CI_Median_Summer_upper","CI_95_lower","CI_95_upper","CI_80_lower","CI_80_upper","CI_83_lower","CI_83_upper","CI_92_lower","CI_92_upper","AnnMax_lower","AnnMax_upper","ImputedLower","ImputedUpper","nmonth","nBimonth","nqtr","No.years","FilterOK","NZReachID","nzsegment.y","MatchForPointSources","Overall","Deposited.sediment.Class.y","Suspended.Sediment.Class.y","productive_class.y","FlowSite","Site.Order.in.catchment.(Report)","NZTM.X","NZTM.Y","Status","CatName","Freshwater.Management.Unit.FMU","Water.management.subzone.One.Plan","Site.Type","Attr","NOF_Grade","yearz"
"1","Kaikokopu Stream at Himatangi Beach","ECOLI",7260002,"Naturally soft-bottomed","N",1,2005,93,2,0,10,NA,145,616.211452647435,3307.5,19.3548387096774,38.7096774193548,9600,212.5,534,726.9,1424,30.832998579803,47.2246987676108,13.5222374908418,26.92008388071,111.81712,219.09144,120.83093,360.01441,1011.899,5992.04621,454.03559,874.92674,469.42535,910,884.34058,4043.68277,9600,9600,"Imputed","Imputed",25,13,12,5,TRUE,7039661,7260002,7260002,"WD_Low_Al","Naturally soft-bottomed",1,"N",NA,"Not Reported",1789261,5528869,"RepSite","Kaikokopu","Rangitikei/Turakina","Northern Manawatu Lakes (West_6)","a","NOF.ECOLI.G260","D","2004 - 2008"
"2","Kaikokopu Stream at Himatangi Beach","ECOLI",7260002,"Naturally soft-bottomed","N",1,2005,93,2,0,10,NA,145,616.211452647435,3307.5,19.3548387096774,38.7096774193548,9600,212.5,534,726.9,1424,30.832998579803,47.2246987676108,13.5222374908418,26.92008388071,111.81712,219.09144,120.83093,360.01441,1011.899,5992.04621,454.03559,874.92674,469.42535,910,884.34058,4043.68277,9600,9600,"Imputed","Imputed",25,13,12,5,TRUE,7039661,7260002,7260002,"WD_Low_Al","Naturally soft-bottomed",1,"N",NA,"Not Reported",1789261,5528869,"RepSite","Kaikokopu","Rangitikei/Turakina","Northern Manawatu Lakes (West_6)","a","NOF.ECOLI.G540","C","2004 - 2008"
"3","Kaikokopu Stream at Himatangi Beach","ECOLI",7260002,"Naturally soft-bottomed","N",1,2005,93,2,0,10,NA,145,616.211452647435,3307.5,19.3548387096774,38.7096774193548,9600,212.5,534,726.9,1424,30.832998579803,47.2246987676108,13.5222374908418,26.92008388071,111.81712,219.09144,120.83093,360.01441,1011.899,5992.04621,454.03559,874.92674,469.42535,910,884.34058,4043.68277,9600,9600,"Imputed","Imputed",25,13,12,5,TRUE,7039661,7260002,7260002,"WD_Low_Al","Naturally soft-bottomed",1,"N",NA,"Not Reported",1789261,5528869,"RepSite","Kaikokopu","Rangitikei/Turakina","Northern Manawatu Lakes (West_6)","a","NOF.ECOLI.Med","D","2004 - 2008"
"4","Kaikokopu Stream at Himatangi Beach","ECOLI",7260002,"Naturally soft-bottomed","N",1,2005,93,2,0,10,NA,145,616.211452647435,3307.5,19.3548387096774,38.7096774193548,9600,212.5,534,726.9,1424,30.832998579803,47.2246987676108,13.5222374908418,26.92008388071,111.81712,219.09144,120.83093,360.01441,1011.899,5992.04621,454.03559,874.92674,469.42535,910,884.34058,4043.68277,9600,9600,"Imputed","Imputed",25,13,12,5,TRUE,7039661,7260002,7260002,"WD_Low_Al","Naturally soft-bottomed",1,"N",NA,"Not Reported",1789261,5528869,"RepSite","Kaikokopu","Rangitikei/Turakina","Northern Manawatu Lakes (West_6)","a","NOF.ECOLI.p95","E","2004 - 2008"
"5","Kaikokopu Stream at Himatangi Beach","ECOLI",7260002,"Naturally soft-bottomed","N",1,2005,93,2,0,10,NA,145,616.211452647435,3307.5,19.3548387096774,38.7096774193548,9600,212.5,534,726.9,1424,30.832998579803,47.2246987676108,13.5222374908418,26.92008388071,111.81712,219.09144,120.83093,360.01441,1011.899,5992.04621,454.03559,874.92674,469.42535,910,884.34058,4043.68277,9600,9600,"Imputed","Imputed",25,13,12,5,TRUE,7039661,7260002,7260002,"WD_Low_Al","Naturally soft-bottomed",1,"N",NA,"Not Reported",1789261,5528869,"RepSite","Kaikokopu","Rangitikei/Turakina","Northern Manawatu Lakes (West_6)","a","NOF.ECOLI.Combined","E","2004 - 2008"
"6","Kaikokopu Stream at Himatangi Beach","ECOLI",7260002,"Naturally soft-bottomed","N",1,2005,93,2,0,10,NA,145,616.211452647435,3307.5,19.3548387096774,38.7096774193548,9600,212.5,534,726.9,1424,30.832998579803,47.2246987676108,13.5222374908418,26.92008388071,111.81712,219.09144,120.83093,360.01441,1011.899,5992.04621,454.03559,874.92674,469.42535,910,884.34058,4043.68277,9600,9600,"Imputed","Imputed",25,13,12,5,TRUE,7039661,7260002,7260002,"WD_Low_Al","Naturally soft-bottomed",1,"N",NA,"Not Reported",1789261,5528869,"RepSite","Kaikokopu","Rangitikei/Turakina","Northern Manawatu Lakes (West_6)","a","NOF.ECOLI_PC.p95","Poor","2004 - 2008"
"7","Mowhanau Stream at Footbridge","ECOLI",7221195,"Naturally soft-bottomed","Y",2,2004,117,0,2,NA,2400,820,2237.63811709554,10124.05075,71.7948717948718,91.4529914529915,24200,790,2155,3002.5,8770,86.2097682334739,94.8224022083214,64.5191575896143,78.0853856323606,712.052,910,672.53095,1000,6456.81153,14512.36567,1561.3129,3627.94919,1803.63703,4720.58788,4164.9357,10423.56188,24200,24200,"No censored - no imputation required","Imputed",28,14,14,5,TRUE,7028803,7221195,NA,NA,"Naturally soft-bottomed",2,"Y",NA,NA,1762563.938,5583091.402,"RepSite","Mowhanau","Kai Iwi","Mowhanau Estuary (West_3CMA)","a","NOF.ECOLI.G260","E","2004 - 2008"
"8","Mowhanau Stream at Footbridge","ECOLI",7221195,"Naturally soft-bottomed","Y",2,2004,117,0,2,NA,2400,820,2237.63811709554,10124.05075,71.7948717948718,91.4529914529915,24200,790,2155,3002.5,8770,86.2097682334739,94.8224022083214,64.5191575896143,78.0853856323606,712.052,910,672.53095,1000,6456.81153,14512.36567,1561.3129,3627.94919,1803.63703,4720.58788,4164.9357,10423.56188,24200,24200,"No censored - no imputation required","Imputed",28,14,14,5,TRUE,7028803,7221195,NA,NA,"Naturally soft-bottomed",2,"Y",NA,NA,1762563.938,5583091.402,"RepSite","Mowhanau","Kai Iwi","Mowhanau Estuary (West_3CMA)","a","NOF.ECOLI.G540","E","2004 - 2008"
"9","Mowhanau Stream at Footbridge","ECOLI",7221195,"Naturally soft-bottomed","Y",2,2004,117,0,2,NA,2400,820,2237.63811709554,10124.05075,71.7948717948718,91.4529914529915,24200,790,2155,3002.5,8770,86.2097682334739,94.8224022083214,64.5191575896143,78.0853856323606,712.052,910,672.53095,1000,6456.81153,14512.36567,1561.3129,3627.94919,1803.63703,4720.58788,4164.9357,10423.56188,24200,24200,"No censored - no imputation required","Imputed",28,14,14,5,TRUE,7028803,7221195,NA,NA,"Naturally soft-bottomed",2,"Y",NA,NA,1762563.938,5583091.402,"RepSite","Mowhanau","Kai Iwi","Mowhanau Estuary (West_3CMA)","a","NOF.ECOLI.Med","E","2004 - 2008"
"10","Mowhanau Stream at Footbridge","ECOLI",7221195,"Naturally soft-bottomed","Y",2,2004,117,0,2,NA,2400,820,2237.63811709554,10124.05075,71.7948717948718,91.4529914529915,24200,790,2155,3002.5,8770,86.2097682334739,94.8224022083214,64.5191575896143,78.0853856323606,712.052,910,672.53095,1000,6456.81153,14512.36567,1561.3129,3627.94919,1803.63703,4720.58788,4164.9357,10423.56188,24200,24200,"No censored - no imputation required","Imputed",28,14,14,5,TRUE,7028803,7221195,NA,NA,"Naturally soft-bottomed",2,"Y",NA,NA,1762563.938,5583091.402,"RepSite","Mowhanau","Kai Iwi","Mowhanau Estuary (West_3CMA)","a","NOF.ECOLI.p95","E","2004 - 2008"
